context,objectType,query,articleType,granularTopic,broadTopic,date,startPage,pageLength,sortBy,showFacets,journal,showResult,logmsg
catalyst,catalyst-article,medicare,Article,cat-gt-004,cat-bt-006,past10Years,1,100,Most+Relevant,Y,catalyst,short,QAUTO-5818-generated-no-1-total-3
catalyst,catalyst-article,medicare,Article,cat-gt-004,New+Models+of+Care,past10Years,1,100,Most+Relevant,Y,catalyst,short,QAUTO-5818-generated-no-1-total-3
catalyst,catalyst-article,value,Conversation,cat-gt-004,Alternative+Payment+Models+(APM),past10Years,1,100,pubdate-ascending,Y,cat-non-issue,short,QAUTO-5818-generated-no-5-total-3
catalyst,catalyst-article,value,Conversation,cat-gt-004,cat-bt-001,past10Years,1,100,pubdate-ascending,Y,cat-non-issue,short,QAUTO-5818-generated-no-5-total-3
catalyst,catalyst-article,system,Article,cat-gt-004,Market+Landscape,past5Years,1,100,pubdate-descending,Y,carryover,short,QAUTO-5818-generated-no-19-total-17
catalyst,catalyst-article,system,Article,cat-gt-004,cat-bt-004,past5Years,1,100,pubdate-descending,Y,carryover,short,QAUTO-5818-generated-no-19-total-17
catalyst,catalyst-article,medicare,Article,cat-gt-001,cat-bt-006,past5Years,1,100,Oldest,Y,carryover,short,QAUTO-5818-generated-no-60-total-44
catalyst,catalyst-article,medicare,Article,cat-gt-001,Patient-Centered+Care,past5Years,1,100,Oldest,Y,carryover,short,QAUTO-5818-generated-no-60-total-44
catalyst,catalyst-article,health,Article,cat-gt-002,cat-bt-005,past5Years,1,100,citedByCount-descending,Y,catalyst,short,QAUTO-5818-generated-no-62-total-5
catalyst,catalyst-article,health,Article,cat-gt-002,Market+Landscape,past5Years,1,100,citedByCount-descending,Y,catalyst,short,QAUTO-5818-generated-no-62-total-5
catalyst,catalyst-article,system,Article,cat-gt-002,Market+Landscape,past5Years,1,100,Most+Relevant,Y,carryover,short,QAUTO-5818-generated-no-89-total-14
catalyst,catalyst-article,system,Article,cat-gt-002,Culture+of+Health,past5Years,1,100,Most+Relevant,Y,carryover,short,QAUTO-5818-generated-no-89-total-14
catalyst,catalyst-article,care,In+Depth,cat-gt-003,Alternative+Payment+Models+(APM),past10Years,1,100,Oldest,Y,catalyst,short,QAUTO-5818-generated-no-92-total-3
catalyst,catalyst-article,care,In+Depth,cat-gt-003,Market+Landscape,past10Years,1,100,Oldest,Y,catalyst,short,QAUTO-5818-generated-no-92-total-3
catalyst,catalyst-article,health,Article,cat-gt-003,Market+Landscape,past10Years,1,100,Most+Cited,Y,carryover,short,QAUTO-5818-generated-no-119-total-24
catalyst,catalyst-article,health,Article,cat-gt-003,cat-bt-001,past10Years,1,100,Most+Cited,Y,carryover,short,QAUTO-5818-generated-no-119-total-24
catalyst,catalyst-article,system,Article,cat-gt-004,cat-bt-006,past5Years,1,100,Most+Relevant,Y,catalyst,short,QAUTO-5818-generated-no-121-total-3
catalyst,catalyst-article,system,Article,cat-gt-004,cat-bt-005,past5Years,1,100,Most+Relevant,Y,catalyst,short,QAUTO-5818-generated-no-121-total-3
catalyst,catalyst-article,health,Talk,cat-gt-004,Alternative+Payment+Models+(APM),past10Years,1,100,pubdate-descending,Y,cat-non-issue,short,QAUTO-5818-generated-no-123-total-4
catalyst,catalyst-article,health,Talk,cat-gt-004,Market+Landscape,past10Years,1,100,pubdate-descending,Y,cat-non-issue,short,QAUTO-5818-generated-no-123-total-4
catalyst,catalyst-article,care,Article,cat-gt-004,cat-bt-007,past5Years,1,100,Most+Relevant,Y,carryover,short,QAUTO-5818-generated-no-137-total-20
catalyst,catalyst-article,care,Article,cat-gt-004,Health+Care+Leadership,past5Years,1,100,Most+Relevant,Y,carryover,short,QAUTO-5818-generated-no-137-total-20
catalyst,catalyst-article,medicare,Insights+Interview,cat-gt-005,cat-bt-004,past5Years,1,100,Most+Relevant,Y,catalyst,short,QAUTO-5818-generated-no-145-total-3
catalyst,catalyst-article,medicare,Insights+Interview,cat-gt-005,Health+Care+Leadership,past5Years,1,100,Most+Relevant,Y,catalyst,short,QAUTO-5818-generated-no-145-total-3
catalyst,catalyst-article,value,Article,cat-gt-005,cat-bt-006,past5Years,1,100,Oldest,Y,carryover,short,QAUTO-5818-generated-no-172-total-25
catalyst,catalyst-article,value,Article,cat-gt-005,cat-bt-004,past5Years,1,100,Oldest,Y,carryover,short,QAUTO-5818-generated-no-172-total-25
catalyst,catalyst-article,health,Case+Study,cat-gt-006,Culture+of+Health,past10Years,1,100,Oldest,Y,catalyst,short,QAUTO-5818-generated-no-180-total-4
catalyst,catalyst-article,health,Case+Study,cat-gt-006,cat-bt-001,past10Years,1,100,Oldest,Y,catalyst,short,QAUTO-5818-generated-no-180-total-4
catalyst,catalyst-article,health,Article,cat-gt-006,Health+Care+Leadership,past5Years,1,100,Most+Cited,Y,carryover,short,QAUTO-5818-generated-no-207-total-11
catalyst,catalyst-article,health,Article,cat-gt-006,Alternative+Payment+Models+(APM),past5Years,1,100,Most+Cited,Y,carryover,short,QAUTO-5818-generated-no-207-total-11
catalyst,catalyst-article,medicare,Article,cat-gt-007,Market+Landscape,past5Years,1,100,relevance,Y,carryover,short,QAUTO-5818-generated-no-248-total-5
catalyst,catalyst-article,medicare,Article,cat-gt-007,cat-bt-006,past5Years,1,100,relevance,Y,carryover,short,QAUTO-5818-generated-no-248-total-5
catalyst,catalyst-article,value,Conversation,cat-gt-008,cat-bt-005,past10Years,1,100,pubdate-ascending,Y,cat-non-issue,short,QAUTO-5818-generated-no-269-total-3
